Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Wyjątkowe mieszkanie w kamienicy w centrum miasta,Śródmieście,3,388000,95.86,4048,18-01-2021,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-w-kamienicy-w-centrum-miasta-ID49BBE.html
Mieszkanie inwestycyjne do remontu centrum,Śródmieście,2,259000,60.15,4306,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-do-remontu-centrum-ID49BAn.html
Mieszkanie w centrum gotowe do wprowadzenia,Śródmieście,2,284000,32.90,8632,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-gotowe-do-wprowadzenia-ID49Bzo.html
Dla rodziny lub rentiera - idealna lokalizacja!,Śródmieście,3,280000,48,5833,18-01-2021,https://www.otodom.pl/pl/oferta/dla-rodziny-lub-rentiera-idealna-lokalizacja-ID49tQc.html
Klimatyczne w bloku z cegły. Ul. Cieszyńska 18,Górna,2,305000,42,7262,18-01-2021,https://www.otodom.pl/pl/oferta/klimatyczne-w-bloku-z-cegly-ul-cieszynska-18-ID49lt3.html
WYKOŃCZONE w Chojny Park IV nowość 2021 44 m2,Widzew Janów,2,359000,44,8159,18-01-2021,https://www.otodom.pl/pl/oferta/wykonczone-w-chojny-park-iv-nowosc-2021-44-m2-ID48lGR.html
3 ogrodzony blok ogród m. parkingowe,Widzew,3,349000,74.15,4707,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-ogrodzony-blok-ogrod-m-parkingowe-ID49Byi.html
Przestronne trzypokojowe mieszkanie w centrum,Śródmieście,3,368000,56.20,6548,18-01-2021,https://www.otodom.pl/pl/oferta/przestronne-trzypokojowe-mieszkanie-w-centrum-ID49BxT.html
Karolew blisko parku ogród botaniczny loggia,Polesie Karolew,3,325000,52.60,6179,18-01-2021,https://www.otodom.pl/pl/oferta/karolew-blisko-parku-ogrod-botaniczny-loggia-ID49BxR.html
M3 36m2 parter Dąbrowa zadbane!,Górna Dąbrowa,2,204000,36.32,5617,18-01-2021,https://www.otodom.pl/pl/oferta/m3-36m2-parter-dabrowa-zadbane-ID49BvR.html
Mieszkanie 2 pokojowe z balkonem 43 mkw - Teofilów,Bałuty Teofilów,2,274193,43.15,6354,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-balkonem-43-mkw-teofilow-ID49BvB.html
Wyremontowane Mieszkanie 5 Minut Od Politechniki,łódzkie,1,159000,32,4969,18-01-2021,https://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-5-minut-od-politechniki-ID49Bw8.html
Mieszkanie w kamienicy na ogrodzonej posesji,Polesie,4,399000,86,4640,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-na-ogrodzonej-posesji-ID49Bw3.html
Przestronny apartament z garażem!,Bałuty Radogoszcz,3,615000,85,7235,18-01-2021,https://www.otodom.pl/pl/oferta/przestronny-apartament-z-garazem-ID49BsS.html
Mieszkanie po remoncie Łódź Śródmieście,Śródmieście,3,361000,87.90,4107,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-lodz-srodmiescie-ID49Box.html
Najtańsze mieszkanie. Odbierz klucze w 2021 roku.,Śródmieście,3,314899,48.40,6506,18-01-2021,https://www.otodom.pl/pl/oferta/najtansze-mieszkanie-odbierz-klucze-w-2021-roku-ID49Bo4.html
Ostatnie dostępne. Wprowadź się już w tym roku. %%,Śródmieście,2,257554,34.84,7392,18-01-2021,https://www.otodom.pl/pl/oferta/ostatnie-dostepne-wprowadz-sie-juz-w-tym-roku-ID49BnZ.html
Klucze już 04/2021. Kup przy Politechnice Łódzkiej,Śródmieście,1,198700,27.05,7346,18-01-2021,https://www.otodom.pl/pl/oferta/klucze-juz-04-2021-kup-przy-politechnice-lodzkiej-ID49BnX.html
Miejsce Gratis. Promocja do 21 Sty. Kup okazyjnie&gt;,Śródmieście,2,294311,40.83,7208,18-01-2021,https://www.otodom.pl/pl/oferta/miejsce-gratis-promocja-do-21-sty-kup-okazyjnie-ID49BnV.html
2 w ścisłym centrum!,Śródmieście,2,184900,33.50,5519,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-w-scislym-centrum-ID49Bns.html
kawalerka z balkonem 34mkw- Teofilów.,Bałuty Teofilów,1,221780,34.08,6508,18-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-34mkw-teofilow-ID49Bih.html
M-3 Górna przy Szpitalu Kopernika,Górna,2,285000,45,6333,18-01-2021,https://www.otodom.pl/pl/oferta/m-3-gorna-przy-szpitalu-kopernika-ID49Bhq.html
Rozkładowe M3 na Dąbrowie 1 piętro loggia!,Górna Dąbrowa,2,215000,40,5375,18-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m3-na-dabrowie-1-pietro-loggia-ID49Bfj.html
Miejsce postojowe gratis - bądź pierwszy!,Górna,2,370000,42.66,8673,18-01-2021,https://www.otodom.pl/pl/oferta/miejsce-postojowe-gratis-badz-pierwszy-ID49Bca.html
2 po remoncie wysoki standard,łódzkie,2,245000,37,6622,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-wysoki-standard-ID49Bc4.html
Mieszkanie 3367 Łódź,Górna,1,228000,33.67,6772,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-33-67-m-lodz-ID49BbS.html
Rozkładowe M-3 do wprowadzenia Dąbrowa,Górna Dąbrowa,2,287000,46.15,6219,18-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m-3-do-wprowadzenia-dabrowa-ID49BaM.html
ok. Centrum - ul. Zielona - 3/70 mkw,łódzkie,3,395000,70,5643,18-01-2021,https://www.otodom.pl/pl/oferta/ok-centrum-ul-zielona-3-pokoje-70-mkw-ID49B2v.html
1,Widzew Widzew-Wschód,1,265000,37.60,7048,18-01-2021,https://www.otodom.pl/pl/oferta/1-pokoj-ID498dk.html
Mieszkanie - 2 45 m2 pełne wyposażenie,Bałuty,2,259000,45,5756,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-45-m2-pelne-wyposazenie-ID47Vbm.html
M4 53m2 Zarzew 2 piętro!,Widzew Zarzew,3,296000,52.35,5654,18-01-2021,https://www.otodom.pl/pl/oferta/m4-53m2-zarzew-2-pietro-ID49AWf.html
Urokliwe M4 parter Olechów!,Widzew Olechów,3,359000,62.64,5731,18-01-2021,https://www.otodom.pl/pl/oferta/urokliwe-m4-parter-olechow-ID49AWe.html
