Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
3 pokojowe w pięknej zielonej okolicy - Retkinia,Polesie Karolew,3,279 900,52.30,5 352,https://www.otodom.pl/oferta/3-pokojowe-w-pieknej-zielonej-okolicy-retkinia-ID491b6.html#87fec1d439
Przestronne mieszkanie na parterze.,Górna Dąbrowa,3,250 000,47,5 319,https://www.otodom.pl/oferta/przestronne-mieszkanie-na-parterze-ID493ro.html#87fec1d439
REZERWACJA 40mkw. 2pok.rozkladoweDąbrowa,Górna Dąbrowa,2,214 000,40,5 350,https://www.otodom.pl/oferta/rezerwacja-40mkw-2pok-rozkladowe-dabrowa-ID48XfY.html#87fec1d439
3674m2 2 - ul. Karla Dedeciusa 1,Widzew,2,170 000,36.74,4 627,https://www.otodom.pl/oferta/36-74m2-2-pokoje-ul-karla-dedeciusa-1-ID48YJl.html#87fec1d439
M3 Łódź Dąbrowa BEZPOŚREDNIO do negocjacji,Górna Dąbrowa,2,225 000,37,6 081,https://www.otodom.pl/pl/oferta/m3-lodz-dabrowa-bezposrednio-do-negocjacji-ID483AE.html#87fec1d439
M-4 Retkinia - LOGGIA,łódzkie,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/m-4-retkinia-loggia-ID493f1.html#87fec1d439
Loft w centrum ul. Gdańska 48m wysokości,Śródmieście,3,285 700,51.15,5 586,https://www.otodom.pl/pl/oferta/loft-w-centrum-ul-gdanska-4-8m-wysokosci-ID47XUE.html#87fec1d439
51m2 w Centrum Gdańska/Zielona 48m wysokości,Śródmieście,3,287 070,51.15,5 612,https://www.otodom.pl/oferta/51m2-w-centrum-gdanska-zielona-4-8m-wysokosci-ID48u1q.html#87fec1d439
PIEKNE 3 pok WYSOKI STANDARD swiezo po remoncie.,Górna Kurak,3,310 000,45.90,6 754,https://www.otodom.pl/pl/oferta/piekne-3-pok-wysoki-standard-swiezo-po-remoncie-ID48NFY.html#87fec1d439
Mieszkanie A2.M.03 Łódź Śródmieście4183m2,Śródmieście,1,286 536,41.83,6 850,https://www.otodom.pl/pl/oferta/mieszkanie-a2-m-03-lodz-srodmiescie-41-83m2-ID3FTnm.html#87fec1d439
Piękne i przytulne mieszkanie na sprzedaż,łódzkie,2,285 000,43,6 628,https://www.otodom.pl/oferta/piekne-i-przytulne-mieszkanie-na-sprzedaz-ID494Jd.html#f7e392bc96
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#f7e392bc96
Mieszkanie A1.M.36 Łódź Śródmieście 4978m2,Śródmieście,1,343 482,49.78,6 900,https://www.otodom.pl/oferta/mieszkanie-a1-m-36-lodz-srodmiescie-49-78m2-ID3FHgM.html#f7e392bc96
Rozkładowe M4 w dobrym punkcie Łodzi,Górna,3,312 000,53,5 887,https://www.otodom.pl/oferta/rozkladowe-m4-w-dobrym-punkcie-lodzi-ID49306.html#f7e392bc96
M3 - 4595m2 - Wielkopolska,Bałuty,2,260 000,45.95,5 658,https://www.otodom.pl/oferta/m3-45-95m2-wielkopolska-ID47z5b.html#f7e392bc96
M3 rozkładowe na Bałutach do remontu,Bałuty,2,232 000,45,5 156,https://www.otodom.pl/oferta/m3-rozkladowe-na-balutach-do-remontu-ID492VG.html#f7e392bc96
M-3 wyjątkowe po generalnym remoncie Widzew,Widzew,2,329 500,51.50,6 398,https://www.otodom.pl/oferta/m-3-wyjatkowe-po-generalnym-remoncie-widzew-ID492VB.html#f7e392bc96
Oferta sprzedaży mieszkania 2 pokojowego ul.Sporna,Bałuty,2,261 000,50.25,5 194,https://www.otodom.pl/pl/oferta/oferta-sprzedazy-mieszkania-2-pokojowego-ul-sporna-ID48GbY.html#f7e392bc96
Piękne słoneczne z tarasem na oś. Majowym.,Widzew Zarzew,2,399 000,51.91,7 686,https://www.otodom.pl/oferta/piekne-sloneczne-z-tarasem-na-os-majowym-ID47Goy.html#f7e392bc96
Mieszkanie I piętro Centrum,Śródmieście,2,219 000,51.16,4 281,https://www.otodom.pl/pl/oferta/mieszkanie-i-pietro-centrum-ID48OC4.html#f7e392bc96
M3 JULIANÓW-atrakcyjne po generalnym remoncie.,Bałuty,2,315 000,47,6 702,https://www.otodom.pl/oferta/m3-julianow-atrakcyjne-po-generalnym-remoncie-ID492Fr.html#f7e392bc96
3 Retkinia,Polesie,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/3-pokoje-retkinia-ID492Fi.html#f7e392bc96
10 min do Centrum obok parku,Widzew,2,262 200,35.50,7 386,https://www.otodom.pl/oferta/10-min-do-centrum-obok-parku-ID492zv.html#f7e392bc96
trzy/loggia/Park Podolski!,Widzew Zarzew,3,249 000,48,5 188,https://www.otodom.pl/pl/oferta/trzy-pokoje-loggia-park-podolski-ID492sQ.html#f7e392bc96
Przytulne M-3 z balkonem blisko basen i siłownia,Bałuty Teofilów,2,192 000,37.60,5 106,https://www.otodom.pl/oferta/przytulne-m-3-z-balkonem-blisko-basen-i-silownia-ID492so.html#f7e392bc96
Nowe mieszkanie blisko centrum,Widzew,3,345 699,48.69,7 100,https://www.otodom.pl/oferta/nowe-mieszkanie-blisko-centrum-ID492pd.html#f7e392bc96
Mieszkanie Bałuty Krawiecka inwestycyjne,Bałuty,2,270 000,51,5 294,https://www.otodom.pl/oferta/mieszkanie-baluty-krawiecka-inwestycyjne-ID492nK.html#f7e392bc96
Sprzedam mieszkanie własnościowe,Bałuty Teofilów,2,249 000,44.41,5 607,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-wlasnosciowe-ID492l9.html#f7e392bc96
