Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
M-3 Retkinia Północ 42m2 2 pok IIp WINDA &quot;-1&quot;,Polesie Retkinia,2,280 000,42.42,6 601,https://www.otodom.pl/pl/oferta/m-3-retkinia-polnoc-42m2-2-pok-iip-winda-1-ID48XSB.html#5111276859
Przestronne M-2 Włólniarzy cegła,Polesie Koziny,1,199 000,36,5 528,https://www.otodom.pl/oferta/przestronne-m-2-wlolniarzy-cegla-ID48XSb.html#5111276859
Atrakcyjne 2 rozkładowe - Centrum,Bałuty,2,235 000,38,6 184,https://www.otodom.pl/pl/oferta/atrakcyjne-2-rozkladowe-pokoje-centrum-ID48XNE.html#5111276859
wysokie 351m2 centrum,Śródmieście,3,287 070,51.15,5 612,https://www.otodom.pl/pl/oferta/wysokie-3-pokoje-51m2-centrum-ID48u2d.html#5111276859
Wyremontowane M3 | Dąbrowa | Do zamieszkania,Górna,2,239 990,42.88,5 597,https://www.otodom.pl/oferta/wyremontowane-m3-dabrowa-do-zamieszkania-ID488YG.html#5111276859
Mieszkanie z potencjałem | 2 + kuchnia,Górna,2,239 990,44.36,5 410,https://www.otodom.pl/oferta/mieszkanie-z-potencjalem-2-pokoje-kuchnia-ID48pW9.html#5111276859
PROMOCJA!! 20 000zł Rabatu! Centrum miasta Okazja,Górna,2,276 062,41,6 733,https://www.otodom.pl/pl/oferta/promocja-20-000zl-rabatu-centrum-miasta-okazja-ID48ed8.html#5111276859
2 pok. 38m2 Ip. świeżo po remoncie Teofilów,Bałuty,2,255 000,38,6 711,https://www.otodom.pl/pl/oferta/2-pok-38m2-ip-swiezo-po-remoncie-teofilow-ID48XGj.html#5111276859
2 na Dąbrowie po remoncie,Górna Chojny,2,309 000,45,6 867,https://www.otodom.pl/oferta/2-pokoje-na-dabrowie-po-remoncie-ID48XFM.html#5111276859
Do sprzedania kawalerka 43 m2 przy ul. Gdańskiej,Polesie,1,239 000,44,5 432,https://www.otodom.pl/pl/oferta/do-sprzedania-kawalerka-43-m2-przy-ul-gdanskiej-ID46qJD.html#5111276859
Trzy Centrum-Widzew RABAT 49.000 !!!,Śródmieście,3,288 900,48.91,5 907,https://www.otodom.pl/pl/oferta/trzy-pokoje-centrum-widzew-rabat-49-000-ID48XDZ.html#5111276859
Dwa Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,2,257 980,40.36,6 392,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-centrum-przy-politechnice-lodzkiej-ID48Qmn.html#5111276859
Sprzedam mieszkanie po remoncie 52 m Łódź Złotno,Polesie Stare Złotno,2,320 000,52,6 154,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-po-remoncie-52-m-lodz-zlotno-ID48IEL.html#5111276859
Mieszkanie 4936 m2 na PRAWDZIWYM Julianowie,Bałuty,2,280 000,49.36,5 673,https://www.otodom.pl/pl/oferta/mieszkanie-49-36-m2-na-prawdziwym-julianowie-ID48XBC.html#5111276859
Sprzedam mieszkanie,Polesie Stare Polesie,2,240 000,43,5 581,https://www.otodom.pl/oferta/sprzedam-mieszkanie-ID44Pc5.html#5111276859
Świetne rozkładowe mieszkanie w bloku z cegły!,Polesie Stare Polesie,3,239 500,44.56,5 375,https://www.otodom.pl/pl/oferta/swietne-rozkladowe-mieszkanie-w-bloku-z-cegly-ID48ZwI.html#bbfcfc6f16
Łódź Śródmieście Wierzbowa M3 51m2 po remoncie,Śródmieście,2,399 000,51,7 824,https://www.otodom.pl/pl/oferta/lodz-srodmiescie-wierzbowa-m3-51m2-po-remoncie-ID491to.html#bbfcfc6f16
3 pok. apartamentowiec wysoki standard wykończenia,Górna,3,424 000,53.08,7 988,https://www.otodom.pl/pl/oferta/3-pok-apartamentowiec-wysoki-standard-wykonczenia-ID48hVM.html#bbfcfc6f16
Świeżo po remoncie 2 47 m2 z balkonem na Ju,Bałuty Julianów,2,315 000,47,6 702,https://www.otodom.pl/pl/oferta/swiezo-po-remoncie-2-pokoje-47-m2-z-balkonem-na-ju-ID48CmJ.html#bbfcfc6f16
Mieszkanie na partezrze,Widzew,2,189 000,37,5 108,https://www.otodom.pl/pl/oferta/mieszkanie-na-partezrze-ID48XwE.html#bbfcfc6f16
Mieszkanie 4198 Łódz Śródmiescie &quot;Osiedle Primo”,Śródmieście,2,314 000,41.98,7 480,https://www.otodom.pl/pl/oferta/mieszkanie-41-98-lodz-srodmiescie-osiedle-primo-ID48Eqg.html#bbfcfc6f16
M3 51m2 rozkładowe Bartoka!,Widzew,2,290 000,51,5 686,https://www.otodom.pl/pl/oferta/m3-51m2-rozkladowe-bartoka-ID48XnS.html#bbfcfc6f16
M4 54m2 Grota Roweckiego do odświeżenia!,Widzew,3,290 000,54,5 370,https://www.otodom.pl/pl/oferta/m4-54m2-grota-roweckiego-do-odswiezenia-ID48Xng.html#bbfcfc6f16
Rozkładowe M4 balkon wieżowiec os.Jagiełły,Bałuty,3,280 000,54,5 185,https://www.otodom.pl/oferta/rozkladowe-m4-balkon-wiezowiec-os-jagielly-ID48Xnc.html#bbfcfc6f16
49 m2 ul. Wólczańska c.o. miejskie parking,Śródmieście,2,255 000,49,5 204,https://www.otodom.pl/oferta/49-m2-ul-wolczanska-c-o-miejskie-parking-ID48XlI.html#bbfcfc6f16
M4 Retkińska do wprowadzenia 4p/4p!,Polesie Retkinia,3,335 000,52.97,6 324,https://www.otodom.pl/pl/oferta/m4-retkinska-do-wprowadzenia-4p-4p-ID48XlH.html#bbfcfc6f16
Dwupokojowe mieszkanie z balkonem Łódź- Żabieniec,Bałuty,2,225 000,45.74,4 919,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-lodz-zabieniec-ID48Xif.html#bbfcfc6f16
Rozkładowe M3 balkon Żubardź,Bałuty Żubardź,2,219 000,46,4 761,https://www.otodom.pl/pl/oferta/rozkladowe-m3-balkon-zubardz-ID48Xi1.html#bbfcfc6f16
Rozkładowe M3 na Teofilowie. 45m2.,Bałuty Teofilów,2,245 000,45,5 444,https://www.otodom.pl/pl/oferta/rozkladowe-m3-na-teofilowie-45m2-ID48Xh1.html#bbfcfc6f16
3 pokojowe mieszkanie Zarzew atrakcyjna cena,Widzew,3,249 000,48,5 188,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-zarzew-atrakcyjna-cena-ID48HZK.html#bbfcfc6f16
M-3 Widzew/Tatrzańska wolne od zaraz Park Podolski,Widzew,2,189 000,37.64,5 021,https://www.otodom.pl/oferta/m-3-widzew-tatrzanska-wolne-od-zaraz-park-podolski-ID47BXZ.html#bbfcfc6f16
M-4 Widzew - Zarzew Park Podolski,Widzew Zarzew,3,245 000,48.18,5 085,https://www.otodom.pl/oferta/m-4-widzew-zarzew-park-podolski-ID48kS5.html#bbfcfc6f16
Kawalerka Koziny Pełen Rozkład Manufaktura,Polesie Koziny,1,187 000,35,5 343,https://www.otodom.pl/pl/oferta/kawalerka-koziny-pelen-rozklad-manufaktura-ID48IU2.html#bbfcfc6f16
Łódź Sienkiewicza 53 Piotrkowska bez PCC,Śródmieście,2,370 000,46,8 043,https://www.otodom.pl/oferta/lodz-sienkiewicza-53-piotrkowska-bez-pcc-ID48Xgh.html#bbfcfc6f16
Mieszkanie 2 pok. po remoncie na Olechowie,Widzew,2,305 000,51,5 980,https://www.otodom.pl/oferta/mieszkanie-2-pok-po-remoncie-na-olechowie-ID48c13.html#bbfcfc6f16
Do sprzedaży piękne M-3 na Janowie,Widzew Janów,2,315 000,51.30,6 140,https://www.otodom.pl/pl/oferta/do-sprzedazy-piekne-m-3-na-janowie-ID48X6x.html#bbfcfc6f16
mieszkanie 42 m2 rewelacyjnie skomunikowane,Bałuty,2,230 000,42,5 476,https://www.otodom.pl/oferta/mieszkanie-42-m2-rewelacyjnie-skomunikowane-ID48Hhj.html#bbfcfc6f16
M4 Po Remoncie Bałuty blisko Koziny Manufaktura,Bałuty,3,299 000,44.81,6 673,https://www.otodom.pl/pl/oferta/m4-po-remoncie-baluty-blisko-koziny-manufaktura-ID48X3z.html#bbfcfc6f16
Komfortowa przestrzeń w loftowym stylu,Górna,2,235 200,36.75,6 400,https://www.otodom.pl/pl/oferta/komfortowa-przestrzen-w-loftowym-stylu-ID48X1l.html#bbfcfc6f16
Piękne wykończone 2 38m2 Łódź Górna,Górna,2,307 000,37.90,8 100,https://www.otodom.pl/oferta/piekne-wykonczone-2-pokoje-38m2-lodz-gorna-ID47hUk.html#bbfcfc6f16
Prywatnie M4 ŁódźKozinyul. Gazowa Po remoncie,Polesie,3,292 000,47.50,6 147,https://www.otodom.pl/oferta/prywatnie-m4-lodz-koziny-ul-gazowa-po-remoncie-ID48VYy.html#bbfcfc6f16
2-pokojowe mieszkanie Łódź Bałuty Doły,Bałuty,2,297 000,41.18,7 212,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-lodz-baluty-doly-ID45lVq.html#c5636a838c
Bardzo ładne mieszkanie na Teofilowie,Bałuty,2,245 000,44.79,5 470,https://www.otodom.pl/pl/oferta/bardzo-ladne-mieszkanie-na-teofilowie-ID45FvA.html#c5636a838c
Prywatnie M3 ŁódźBałutyul .Sierakowskiego,Bałuty,2,262 000,38,6 895,https://www.otodom.pl/pl/oferta/prywatnie-m3-lodz-baluty-ul-sierakowskiego-ID48VXW.html#c5636a838c
Odnowione mieszkanie przy ul. Bardowskiego w Łodzi,Polesie,2,279 000,47.44,5 881,https://www.otodom.pl/pl/oferta/odnowione-mieszkanie-przy-ul-bardowskiego-w-lodzi-ID48VVI.html#c5636a838c
Łódź Teofilów po generalnym remoncie,Bałuty Teofilów,2,254 990,38,6 710,https://www.otodom.pl/oferta/lodz-teofilow-po-generalnym-remoncie-ID48VTo.html#c5636a838c
Przytulne M-3 z balkonem blisko basen i siłownia,Bałuty Teofilów,2,192 000,37.60,5 106,https://www.otodom.pl/pl/oferta/przytulne-m-3-z-balkonem-blisko-basen-i-silownia-ID48pSD.html#c5636a838c
Trzy Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,3,313 540,51.35,6 106,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-centrum-przy-politechnice-lodzkiej-ID48Qn1.html#c5636a838c
ZOBACZ FIZYCZNIE - Centrum/Widzew Teren Ogrodzony,Śródmieście,2,247 950,36.37,6 817,https://www.otodom.pl/oferta/zobacz-fizycznie-centrum-widzew-teren-ogrodzony-ID48VKe.html#c5636a838c
Trzy w Apartamentowcu Centrum-Widzew !!!,Śródmieście,3,305 760,51.61,5 924,https://www.otodom.pl/oferta/trzy-pokoje-w-apartamentowcu-centrum-widzew-ID48VHN.html#c5636a838c
DNI OTWARTE 3pok+balkon obok Politechniki Łódzkiej,Śródmieście,3,308 550,48.69,6 337,https://www.otodom.pl/pl/oferta/dni-otwarte-3pok-balkon-obok-politechniki-lodzkiej-ID48VI2.html#c5636a838c
Dwa Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,2,257 980,40.36,6 392,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-centrum-przy-politechnice-lodzkiej-ID48VGN.html#c5636a838c
Mieszkanie M3 ul.Piasta Łódź Górna - Polesie,Polesie,3,345 000,52,6 635,https://www.otodom.pl/pl/oferta/mieszkanie-m3-ul-piasta-lodz-gorna-polesie-ID48awx.html#c5636a838c
Trzy Centrum-Widzew RABAT 49.000 !!!,Śródmieście,3,288 900,48.91,5 907,https://www.otodom.pl/oferta/trzy-pokoje-centrum-widzew-rabat-49-000-ID48VFS.html#c5636a838c
Mieszkanie 4510 Łódź,Bałuty,2,289 000,45.10,6 408,https://www.otodom.pl/oferta/mieszkanie-45-10-m-lodz-ID48VCS.html#c5636a838c
M4 do wprowadzenia Balkon Dąbrowa.,Górna Dąbrowa,3,320 000,52,6 154,https://www.otodom.pl/pl/oferta/m4-do-wprowadzenia-balkon-dabrowa-ID48VA9.html#c5636a838c
M3 Łódź-Górna-Dąbrowa,Górna Dąbrowa,2,210 000,40,5 250,https://www.otodom.pl/oferta/m3-lodz-gorna-dabrowa-ID48VuI.html#c5636a838c
M4/ Karolew/ Osiedle Piaski,Polesie,3,299 000,53,5 642,https://www.otodom.pl/pl/oferta/m4-karolew-osiedle-piaski-ID48h5F.html#c5636a838c
Świetyna oferta mieszkanie z dużym potencjałem !!!,Bałuty,2,245 000,48,5 104,https://www.otodom.pl/pl/oferta/swietyna-oferta-mieszkanie-z-duzym-potencjalem-ID441MB.html#c5636a838c
Sprzedam mieszkanie po remoncie,Bałuty Doły,2,370 000,53.37,6 933,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-po-remoncie-ID48mSw.html#c5636a838c
M3 po remoncie 42m2 bezpośrednio - umeblowane !,Bałuty,2,275 000,42,6 548,https://www.otodom.pl/oferta/m3-po-remoncie-42m2-bezposrednio-umeblowane-ID48Gy0.html#c5636a838c
M3-Łódź-Polesie-Koziny,Polesie Koziny,2,230 000,45,5 111,https://www.otodom.pl/oferta/m3-lodz-polesie-koziny-ID48VmD.html#c5636a838c
Rozkładowe M3 Po Remoncie,Górna,2,285 000,44.80,6 362,https://www.otodom.pl/pl/oferta/rozkladowe-m3-po-remoncie-ID48Vhd.html#c5636a838c
466 m2 II piętro blok z cegły do remontu,Górna,2,220 000,46.60,4 721,https://www.otodom.pl/oferta/46-6-m2-ii-pietro-blok-z-cegly-do-remontu-ID48Gop.html#c5636a838c
M-3 okol Ronda Lotników rozkładowe z balkonem,łódzkie,2,223 000,46,4 848,https://www.otodom.pl/pl/oferta/m-3-okol-ronda-lotnikow-rozkladowe-z-balkonem-ID48VdY.html#c5636a838c
M3 - 4595m2 - Wielkopolska,Bałuty,2,260 000,45.95,5 658,https://www.otodom.pl/pl/oferta/m3-45-95m2-wielkopolska-ID47z5b.html#5e760c2b01
Rozkładowe M3 w świetnej lokalizacji,Polesie Retkinia,2,269 000,42.42,6 341,https://www.otodom.pl/oferta/rozkladowe-m3-w-swietnej-lokalizacji-ID48wXc.html#5e760c2b01
Bardzo ładne mieszkanie na Teofilowie,Bałuty,2,245 000,44.79,5 470,https://www.otodom.pl/pl/oferta/bardzo-ladne-mieszkanie-na-teofilowie-ID45FvA.html#5e760c2b01
M3 w prywatnej kamienicy. 49m2 Co. Pcv,Śródmieście,3,255 000,49,5 204,https://www.otodom.pl/pl/oferta/m3-w-prywatnej-kamienicy-49m2-co-pcv-ID48VdJ.html#5e760c2b01
M3 rozkładowe Zarzew,Widzew,2,259 000,51.50,5 029,https://www.otodom.pl/pl/oferta/m3-rozkladowe-zarzew-ID48Vdf.html#5e760c2b01
Mieszkanie 51m2 2 taras DUŻY GARAŻ,Górna,2,357 000,51.12,6 984,https://www.otodom.pl/pl/oferta/mieszkanie-51m2-2-pokoje-taras-duzy-garaz-ID48V7L.html#5e760c2b01
Apartament 2 pok./Rabat - 24 000___Zapraszam,Widzew,2,301 710,41.83,7 213,https://www.otodom.pl/oferta/apartament-2-pok-rabat-24-000-zapraszam-ID48V5p.html#5e760c2b01
Zamieszkaj lub Wynajmij_____Zapraszam,Śródmieście,1,300 909,40.94,7 350,https://www.otodom.pl/oferta/zamieszkaj-lub-wynajmij-zapraszam-ID48V5q.html#5e760c2b01
Nowe M-3 na Black Week /Al.Piłsudskiego,Widzew,3,346 600,52.90,6 552,https://www.otodom.pl/pl/oferta/nowe-m-3-na-black-week-al-pilsudskiego-ID48V5l.html#5e760c2b01
Nowe M-2 z wysokim rabatem/Al.Piłsudskiego,Widzew,2,305 400,42.10,7 254,https://www.otodom.pl/pl/oferta/nowe-m-2-z-wysokim-rabatem-al-pilsudskiego-ID48V5m.html#5e760c2b01
Nowe M-3 w Promocyjnej Cenie /Al.Jana Pawła,Śródmieście,3,330 700,49.14,6 730,https://www.otodom.pl/pl/oferta/nowe-m-3-w-promocyjnej-cenie-al-jana-pawla-ID48V5j.html#5e760c2b01
Deweloperskie M-3 w cenie na Black Week /Al.Jana P,Śródmieście,3,353 320,52.52,6 727,https://www.otodom.pl/oferta/deweloperskie-m-3-w-cenie-na-black-week-al-jana-p-ID48V5k.html#5e760c2b01
Nowe M-2 z Dużym Rabatem/Pol. Łódzka,Śródmieście,2,279 460,40.36,6 924,https://www.otodom.pl/pl/oferta/nowe-m-2-z-duzym-rabatem-pol-lodzka-ID48V5h.html#5e760c2b01
M3Zarzew pełen rozkład balkon bardzo dobra cena,Widzew Zarzew,2,228 000,45,5 067,https://www.otodom.pl/pl/oferta/m3zarzew-pelen-rozklad-balkon-bardzo-dobra-cena-ID48WYw.html#5e760c2b01
M3Zarzew rozkładowe balkon bardzo dobra cena,Widzew Zarzew,2,205 000,38,5 395,https://www.otodom.pl/oferta/m3zarzew-rozkladowe-balkon-bardzo-dobra-cena-ID48WXY.html#5e760c2b01
M3Dąbrowa pełen rozkład balkon dobra cena,Górna Dąbrowa,2,210 000,40,5 250,https://www.otodom.pl/oferta/m3dabrowa-pelen-rozklad-balkon-dobra-cena-ID48WV4.html#5e760c2b01
Rabat 20 Tysięcy | Smart Home | Blisko centrum,Polesie Retkinia,2,281 826,41.50,6 791,https://www.otodom.pl/oferta/rabat-20-tysiecy-smart-home-blisko-centrum-ID48WNh.html#5e760c2b01
Rabat 30 Tysięcy | Smart Home | Blisko centrum,Polesie Retkinia,2,266 096,40.90,6 506,https://www.otodom.pl/pl/oferta/rabat-30-tysiecy-smart-home-blisko-centrum-ID48WNd.html#5e760c2b01
Mieszkanie 4510 Łódź,Bałuty Teofilów,2,215 000,45.10,4 767,https://www.otodom.pl/pl/oferta/mieszkanie-45-10-m-lodz-ID48Kba.html#5e760c2b01
Śliczne 2 pokojowe ul. Cieszyńska 18,Górna,2,302 000,42,7 190,https://www.otodom.pl/pl/oferta/sliczne-2-pokojowe-ul-cieszynska-18-ID48WHB.html#5e760c2b01
M-4 Retkinia Północ loggia parter,Polesie Retkinia,3,299 000,53,5 642,https://www.otodom.pl/pl/oferta/m-4-retkinia-polnoc-loggia-parter-ID48WHg.html#5e760c2b01
M-4 do wprowadzenia Górna Rondo Lotników Lwowskich,Górna,3,297 000,53,5 604,https://www.otodom.pl/pl/oferta/m-4-do-wprowadzenia-gorna-rondo-lotnikow-lwowskich-ID48WHf.html#5e760c2b01
M4 48m2 Zarzew 8piętro balkon!,Widzew Zarzew,3,249 000,48,5 188,https://www.otodom.pl/oferta/m4-48m2-zarzew-8pietro-balkon-ID48WF1.html#5e760c2b01
Kawalerka na sprzedaż,Polesie,1,199 000,36,5 528,https://www.otodom.pl/oferta/kawalerka-na-sprzedaz-ID48WEM.html#5e760c2b01
M-3 TBS Zgierz Łódź Olechów,Widzew,2,195 000,54.60,3 571,https://www.otodom.pl/oferta/m-3-tbs-zgierz-lodz-olechow-ID48WCg.html#5e760c2b01
Sprzedam zadbane M-4. REZERWACJA,Górna,3,340 000,55,6 182,https://www.otodom.pl/pl/oferta/sprzedam-zadbane-m-4-rezerwacja-ID48bGD.html#5e760c2b01
Mieszkanie inwestycyjne w centrum Łodzi 37 m2,Śródmieście,2,225 000,37.30,6 032,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-w-centrum-lodzi-37-m2-ID48hXJ.html#1e952f8dd1
M3 (55m2) z dużą loggią / Widzew Wschód,Widzew Widzew-Wschód,2,314 000,55,5 709,https://www.otodom.pl/oferta/m3-55m2-z-duza-loggia-widzew-wschod-ID48Wtz.html#1e952f8dd1
Lokata w dobie COVID!!! Kup teraz sprzed za rok!!!,Widzew,2,261 864,37,7 077,https://www.otodom.pl/oferta/lokata-w-dobie-covid-kup-teraz-sprzed-za-rok-ID48fmE.html#1e952f8dd1
Dwa z balkonem w najlepszej części Bałut,Bałuty,2,260 000,46.55,5 585,https://www.otodom.pl/oferta/dwa-pokoje-z-balkonem-w-najlepszej-czesci-balut-ID48WpW.html#1e952f8dd1
M3 na Ip  -Dąbrowa balkon,Górna Dąbrowa,2,187 000,36.43,5 133,https://www.otodom.pl/pl/oferta/m3-na-ip-dabrowa-balkon-ID48WmY.html#1e952f8dd1
M-3 ok. 45 mkw do remontu Żabieniec,Bałuty Żabieniec,2,223 000,45,4 956,https://www.otodom.pl/oferta/m-3-ok-45-mkw-do-remontu-zabieniec-ID48Wie.html#1e952f8dd1
Sprzedam bezpośrednio idealne mieszkanie,Widzew Widzew-Wschód,2,245 000,46,5 326,https://www.otodom.pl/oferta/sprzedam-bezposrednio-idealne-mieszkanie-ID48W9J.html#1e952f8dd1
Wyposażona perełka/ park 3-go Maja/ blok z cegły,Widzew,2,319 000,46,6 935,https://www.otodom.pl/oferta/wyposazona-perelka-park-3-go-maja-blok-z-cegly-ID48FLB.html#1e952f8dd1
Mieszkanie 43 Łódź,Górna Rokicie,3,234 000,43,5 442,https://www.otodom.pl/pl/oferta/mieszkanie-43-m-lodz-ID48W1Y.html#1e952f8dd1
Sprzedam bezpośrednio M3,Bałuty,2,265 000,38.30,6 919,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-m3-ID48FId.html#1e952f8dd1
Rozkładowe M2 | Super okolica | 1 pietro | Winda,Bałuty,2,239 990,46.50,5 161,https://www.otodom.pl/oferta/rozkladowe-m2-super-okolica-1-pietro-winda-ID48FHP.html#1e952f8dd1
M3-Łódź-Bałuty-Teofilów,Bałuty,2,230 000,45,5 111,https://www.otodom.pl/oferta/m3-lodz-baluty-teofilow-ID48UNT.html#1e952f8dd1
M3 do zamieszkania Bałuty Żubardź Żabieniec,Bałuty,2,275 000,47,5 851,https://www.otodom.pl/pl/oferta/m3-do-zamieszkania-baluty-zubardz-zabieniec-ID48UMu.html#1e952f8dd1
M3 Górna,Górna,2,172 000,36,4 778,https://www.otodom.pl/oferta/m3-gorna-ID48K65.html#1e952f8dd1
M3 (45m2) balkon / Teofilów / Ogród Jordanowski,Bałuty Teofilów,2,235 000,45.10,5 211,https://www.otodom.pl/oferta/m3-45m2-balkon-teofilow-ogrod-jordanowski-ID48UM5.html#1e952f8dd1
Mieszkanie 37 Łódź,Górna Dąbrowa,2,210 000,37,5 676,https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lodz-ID48UxM.html#1e952f8dd1
Funkcjonalne mieszkanie obok Parku,Górna Dąbrowa,2,195 000,36.24,5 381,https://www.otodom.pl/oferta/funkcjonalne-mieszkanie-obok-parku-ID48UsX.html#1e952f8dd1
Umeblowane mieszkanie do wprowadzenia od zaraz,Widzew,3,295 000,52,5 673,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-do-wprowadzenia-od-zaraz-ID48UsV.html#1e952f8dd1
M2 (36m2) w rejonie Starego Rynku,Śródmieście,1,185 000,36,5 139,https://www.otodom.pl/oferta/m2-36m2-w-rejonie-starego-rynku-ID48Unv.html#1e952f8dd1
Rabat 24 000zł oferta promocyjna C.H Tulipan,Widzew,2,298 900,42,7 117,https://www.otodom.pl/oferta/rabat-24-000zl-oferta-promocyjna-c-h-tulipan-ID48UmM.html#1e952f8dd1
Kusocińskiego (Retkinia) 3 na parterze,Polesie Retkinia,3,299 000,53,5 642,https://www.otodom.pl/oferta/kusocinskiego-retkinia-3-pokoje-na-parterze-ID48Ujj.html#1e952f8dd1
Rozkładowe M3 z balkonem na osiedlu Żubardź,Bałuty,2,269 000,46.07,5 839,https://www.otodom.pl/pl/oferta/rozkladowe-m3-z-balkonem-na-osiedlu-zubardz-ID48Ugs.html#1e952f8dd1
Widzew Zarzew. Funkcjonalne rozkładowe M4. Wolne,Widzew Zarzew,3,325 000,55,5 909,https://www.otodom.pl/oferta/widzew-zarzew-funkcjonalne-rozkladowe-m4-wolne-ID48Udy.html#1e952f8dd1
Sprzedam mieszkanie w apartamentowcu,Widzew,2,390 000,50,7 800,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-apartamentowcu-ID48u1z.html#5c5aa864ea
2-pokojowe mieszkanie Łódź Bałuty Doły,Bałuty,2,297 000,41.18,7 212,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-lodz-baluty-doly-ID45lVq.html#5c5aa864ea
Rozkładowe M3 na Teofilowie. 45m2.,Bałuty Teofilów,2,245 000,45,5 444,https://www.otodom.pl/pl/oferta/rozkladowe-m3-na-teofilowie-45m2-ID48Xh1.html#5c5aa864ea
Mieszkanie na sprzedaż Łódź Stoki,łódzkie,3,260 000,50,5 200,https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-lodz-stoki-ID48UcO.html#5c5aa864ea
2 po remoncie -Żubardź,Bałuty,2,285 000,44.10,6 463,https://www.otodom.pl/oferta/2-pokoje-po-remoncie-zubardz-ID48U7l.html#5c5aa864ea
M3 Bałuty okazja,Bałuty,2,250 000,45,5 556,https://www.otodom.pl/oferta/m3-baluty-okazja-ID48U0y.html#5c5aa864ea
40m 2 z aneksem na Górnej 12000,Górna,2,12 000,40,300,https://www.otodom.pl/pl/oferta/40m-2-pokoje-z-aneksem-na-gornej-12000-zl-ID48TZ3.html#5c5aa864ea
Mieszkanie M-3 Łódź Dąbrowa,Górna,2,199 000,40.60,4 901,https://www.otodom.pl/pl/oferta/mieszkanie-m-3-lodz-dabrowa-ID481Hv.html#5c5aa864ea
Przutulne M3 na Teofilowie,Bałuty Teofilów,2,198 000,37,5 351,https://www.otodom.pl/pl/oferta/przutulne-m3-na-teofilowie-ID48TSB.html#5c5aa864ea
Black Week/Cena po rabacie!,Śródmieście,2,276 000,40.98,6 735,https://www.otodom.pl/pl/oferta/black-week-cena-po-rabacie-ID48TOG.html#5c5aa864ea
Rozkładowe M3- Nowe Centrum Łodzi,łódzkie,2,375 000,51.57,7 272,https://www.otodom.pl/oferta/rozkladowe-m3-nowe-centrum-lodzi-ID48TLx.html#5c5aa864ea
Mieszkanie dwupokojowe na Teofilowie do remontu,Bałuty Teofilów,2,199 000,37,5 378,https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-na-teofilowie-do-remontu-ID48TDO.html#5c5aa864ea
Apartament 2 pokojowy w Ilumino Kilińskiego,Śródmieście,2,299 000,41.02,7 289,https://www.otodom.pl/oferta/apartament-2-pokojowy-w-ilumino-kilinskiego-ID46ms6.html#5c5aa864ea
M3 rozkładowe II p ul. Traktorowa,Bałuty Teofilów,2,245 000,45,5 444,https://www.otodom.pl/oferta/m3-rozkladowe-ii-p-ul-traktorowa-ID48TCp.html#5c5aa864ea
Osiedle KOLUMNY nowa inwestycja! etap I budynek J,Górna,2,315 531,04,53.68,5 878,https://www.otodom.pl/pl/oferta/osiedle-kolumny-nowa-inwestycja-etap-i-budynek-j-ID455hI.html#5c5aa864ea
3 gotowe do wprowadzenia,Bałuty,3,345 000,53.50,6 449,https://www.otodom.pl/pl/oferta/3-pokoje-gotowe-do-wprowadzenia-ID48Ty6.html#5c5aa864ea
3 w okolicach Manufaktury,Bałuty,3,269 000,45,5 978,https://www.otodom.pl/pl/oferta/3-pokoje-w-okolicach-manufaktury-ID48Tvw.html#5c5aa864ea
Na sprzedaż 3 pokojowe mieszkanie,Śródmieście,3,309 000,45,6 867,https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-ID48TlZ.html#5c5aa864ea
Bezpośrednio Olechów 3 aneks 1 piętro,Widzew Olechów,3,293 000,54.70,5 356,https://www.otodom.pl/pl/oferta/bezposrednio-olechow-3-pokoje-aneks-1-pietro-ID48a9O.html#5c5aa864ea
Mieszkanie na nowym osiedlu fantastycznym widokiem,Śródmieście,3,400 575,53,7 558,https://www.otodom.pl/oferta/mieszkanie-na-nowym-osiedlu-fantastycznym-widokiem-ID48TkH.html#5c5aa864ea
Doskonała inwestycja 2 + balkon ! stan dewe,Śródmieście,2,273 963,40.89,6 700,https://www.otodom.pl/pl/oferta/doskonala-inwestycja-2-pokoje-balkon-stan-dewe-ID48TkG.html#5c5aa864ea
